Periods,Solar PV
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,30.332631345347355
9,207.48020641585873
10,410.3972796593744
11,597.8541351534278
12,705.4704018442841
13,801.367930194029
14,768.4422956750536
15,714.3744290599252
16,649.4276682035064
17,478.1589318389293
18,282.15849686916755
19,88.0412832560363
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,28.555351004019318
33,210.42473474488975
34,438.74224214998964
35,619.9419120798268
36,733.3956025918098
37,809.8373805624022
38,827.5735444175576
39,780.2824920921742
40,679.5389833549345
41,513.5407252648381
42,305.6710218838607
43,91.90806048180005
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,28.558037090270222
57,229.454624985487
58,449.1435404052817
59,624.4629246055292
60,750.2460366463329
61,818.5118724820666
62,805.7567455487418
63,771.4706432905525
64,678.3024260868818
65,506.2676608023672
66,304.3955385976196
67,84.91509889525094
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,28.56987049987254
81,227.9406950402231
82,445.9563144990459
83,621.4672678219324
84,750.2983696097511
85,822.7846354827235
86,828.4970880231333
87,772.1732360823013
88,648.1142761312808
89,442.24487470498855
90,136.63504241280242
91,94.70719251182999
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,28.461639815673465
105,187.8986188975902
106,429.3282932293151
107,610.1266194936458
108,741.1711474674797
109,815.3217377398122
110,830.2237692783572
111,756.5264727832382
112,678.3964706404865
113,526.7631897964895
114,313.7930227351265
115,102.73456109869379
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,9.222681323973422
129,125.7833206394182
130,384.17250485257887
131,368.06271012987423
132,740.1187759549258
133,813.276472630812
134,824.7216261130081
135,775.0513073008356
136,680.9541283280423
137,511.37845873348635
138,313.2384771563557
139,101.76273814336314
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,23.411060790236164
153,209.58249370661434
154,430.2827776978344
155,574.7737639539295
156,671.616330190008
157,617.9791200174379
158,754.8999324438058
159,729.0202594008232
160,665.0917362173195
161,515.7581936665013
162,315.1330748520753
163,102.18084864697983
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,24.447028252432684
177,28.29942468063833
178,328.684737619858
179,533.3005005114815
180,638.7440047214711
181,715.259000880743
182,828.2202939280337
183,786.7957787204516
184,687.9973978473895
185,519.3469011359867
