Periods,Solar PV
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,3670
10,8520
11,13140
12,16270
13,18270
14,18920
15,18260
16,16210
17,12940
18,8520
19,3610
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,3560
34,8440
35,12920
36,16150
37,18290
38,18930
39,18340
40,16350
41,13080
42,8570
43,3650
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,3420
58,8190
59,12620
60,16100
61,18160
62,18950
63,18390
64,16240
65,13060
66,8620
67,3710
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,1760
82,6080
83,12680
84,16080
85,18100
86,17560
87,17760
88,5050
89,13040
90,8710
91,3780
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,3160
106,7870
107,12580
108,15980
109,17850
110,18280
111,16510
112,15580
113,13180
114,8770
115,3770
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,1510
130,5720
131,12530
132,15860
133,18180
134,15840
135,10910
136,15510
137,13000
138,8600
139,3770
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,3240
154,7990
155,12570
156,15950
157,16570
158,18000
159,17220
160,16370
161,13040
162,9230
163,3830
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,2140
178,2090
179,4680
180,14510
181,17250
182,17010
183,15580
184,16550
185,12830
186,8760
187,3870
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,1690
202,6900
203,10940
204,15380
205,18040
206,19050
207,18410
208,16490
209,13290
210,7230
211,3980
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,350
226,5440
227,8940
228,15490
229,17350
230,15770
231,16680
232,5790
233,7700
234,8940
235,3280
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,350
250,970
251,11080
